id;gold;google_raw_all;google_raw_clean;google_preproc_all;google_preproc_clean;tess_preproc
397909500_853314419830110_199618704365673501_n.jpg;Plantele din casă când văd că pun apă în espressorul de cafea;Plantele din casă când văd că pun apă în espressorul de cafea s;Plantele din casă când văd că pun apă în espressorul de cafea s;Plantele din casă când văd că pun apă în espressorul de cafea;Plantele din casă când văd că pun apă în espressorul de cafea;Plantele din casă când văd că pun apă în espressorul de cafea .
 -12.jpg;AI GRIJA CE SPUI CA NU TE MAI SPOVEDESC;AI GRIJĂ CE SPUI CA NU TE MAI SPOVEDESC;AI GRIJĂ CE SPUI CA NU TE MAI SPOVEDESC;AI GRIJĂ CE SPUI CA NU TE MAI SPOVEDESC;AI GRIJĂ CE SPUI CA NU TE MAI SPOVEDESC;Al GRIJĂ CE SPUI CA NU TE MAI SPOVEDESC
Albert Einstein.jpg;Vrei să-ți trag o cârja?;Vrei să-ţi trag o cârja?;Vrei să-ţi trag o cârja?;;;Tan
 -3.jpg;Când afli in pauză că ai avut temă;Când afli în pauză că Instagram **** SCRIITORUL Facebook ai avut temǎ.;Când afli în pauză că Instagram * * * * SCRIITORUL Facebook ai avut temǎ.;;;ru
434054281_7059114724218289_5585073462344990028_n.jpg;Tu si acel prieten, în parcare la Kautland, la ora 24, după două beri:;Tu şi acel prieten, în parcare la Kaufland, la ora 24, după două beri: @iulian.conduruta;Tu şi acel prieten, în parcare la Kaufland, la ora 24, după două beri: @ iulian. conduruta;Tu şi acel prieten, în parcare la Kaufland, la ora 24, după două beri: juha.zim;Tu şi acel prieten, în parcare la Kaufland, la ora 24, după două beri: juha. zim;Tu şi acel prieten, în arcare la Kaufland, la ora 24, după două beri: M— pi [L] y
 -2.jpg;Sună mã si te rezolv...;Sună-mă si te rezolv...;Sună-mă si te rezolv...;Sună-mă și te rezolv...;Sună-mă și te rezolv...;cunâ-mă ŞI te rezolv...
 -13.jpg;MA IA CU FREZOANE;MĂ IA CU FREZOANE;MĂ IA CU FREZOANE;MÁ IA CU FREZOANE;MÁ IA CU FREZOANE;i MĂ 09 CU FREZOANE
 -11.jpg;Se aproba;Se aproba Pida;Se aproba;Se aproba;Se aproba;Se aproha
x6t4hy1vom491.jpg;"Bucuresteni: ""E mai mare chiria că plätesti zona"" Zona:";"Bucureşteni: ""E mai mare chiria că plăteşti zona"" Zona: IF E";"Bucureşteni: "" E mai mare chiria că plăteşti zona "" Zona: IF E";"Bucureşteni: ""E mai mare chiria că plăteşti zona” Zona:";"Bucureşteni: "" E mai mare chiria că plăteşti zona ” Zona:";Bucureșteni: “E mai mare chiria că plătești zona” Zona:
exemplu.jpg;SPUNE, UNDE ESTE PARTENERUL TĂU ?;SPUNE, UNDE ESTE PARTENERUL TĂU?;SPUNE, UNDE ESTE PARTENERUL TĂU?;SPUNE, UNDE ESTE PARTENERUL TĂU?;SPUNE, UNDE ESTE PARTENERUL TĂU?;d
Screenshot 2024-06-07 at 21.53.46.png;Asa arata Raiul pentru o fata;Asa arata Raiul pentru o fatal WIM MANHATTAN CaTRIC;Asa arata Raiul pentru o fatal WIM MANHATTAN CaTRIC;Asa arata Raiul pentru o fata - •;Asa arata Raiul pentru o fata;Asa Raiul pentru o fata = - “n, A LES ai f-.. că tt Mie d: Pi e N a: n a ai -
e911mny3rfw61.jpg;Germania: Pierdem războiul!! România: TU îl pierzi;Germania: Pierdem războiul!! România: ISTORI RoMaNie IN ME TU îl pierzi;Germania: Pierdem războiul!! România: ISTORI RoMaNie IN ME TU îl pierzi;Germania: Pierdem războiul!! România: TU îl pierzi;Germania: Pierdem războiul!! România: TU îl pierzi;Germania: Pierdem războiul!! România: T UC Cui U îl pierzi
444193428_972833437878207_4473686593179060502_n.jpg;Ăstia puteam fi noi dar tie ti-a plăcut scoala;Aştia puteam fi noi dar ție ți-a plăcut scoala.;Aştia puteam fi noi dar ție ți-a plăcut scoala.;Aştia puteam fi noi dar ție ţi-a plăcut scoala;Aştia puteam fi noi dar ție ţi-a plăcut scoala;| Ăştia puteam fi noi dar ye ţi-a plăcut scoala
 -10.jpg;MAI RAR AȘA CEVA;istey MAI RAR AȘA CEVA;istey MAI RAR AȘA CEVA;MAI RAR AȘA CEVA;MAI RAR AȘA CEVA;AA CEVA
0n14f4fb4zaa1.jpg;Eu si cu tata chinuindu-ne cu tema la mate din clasa a doua;Eu și cu tata chinuindu-ne cu tema la mate din clasa a doua rumemes;Eu și cu tata chinuindu-ne cu tema la mate din clasa a doua rumemes;Eu și cu tata chinuindu-ne cu tema la mate din clasa a doua;Eu și cu tata chinuindu-ne cu tema la mate din clasa a doua;Eu și cu tata chinuindu-ne cu tema la mate din clasa a doua n o. '/ “/ cj cj 7 7 ÎN. Sa | ÎN. Sa |
b6a149420210dd5bacddaa5190415f34.jpg;P-ăsta nu-l prinde politia niciodată. Aude sirena cu 3 zile înainte.;P-ǎsta nu-l prinde poliţia niciodată. Aude sirena cu 3 zile înainte.;P-ǎsta nu-l prinde poliţia niciodată. Aude sirena cu 3 zile înainte.;P-ǎsta nu-l prinde poliţia niciodată. Aude sirena cu 3 zile înainte.;P-ǎsta nu-l prinde poliţia niciodată. Aude sirena cu 3 zile înainte.;Aude sirena cu 3 zile înainte. P-ăsta nu-l prinde poliţia niciodată. AI
 -14.jpg;Hm. Imi pute a gay;Hm. Imi pute a gay.;Hm. Imi pute a gay.;;;m iiumai LA pui Pe, 1 pâtă d pay:
 -5.jpg;Bea o gură si taci!;TEREMANA TEREMAN Bea o gură şi taci! iuli;TEREMANA TEREMAN Bea o gură şi taci! iuli;Bea o gură şi taci!;Bea o gură şi taci!;Bea o qură și luci!
Screenshot 2024-06-07 at 22.24.03.png;Saptamana cailor la lidl;Saptamana cailor la lidl FRUIT SOUNDS eurospin.c;Saptamana cailor la lidl FRUIT SOUNDS eurospin. c;;;ÎN i
434425244_7059118547551240_7916372849699441406_n.jpg;Cum plătiți? Cu lacrimi în ochi!;3 Cum plătiți? Cu lacrimi în ochi!;3 Cum plătiți? Cu lacrimi în ochi!;Cu lacrimi în ochi! Cum plătiţi?;Cu lacrimi în ochi! Cum plătiţi?;AR DE ui cure teen -—
 -4.jpg;CATALIN, Al LEGATURA! Da Andrea am legătura;STIRILE PRO 18:53 CATALIN, AI LEGATURA! Da Andreea am legătura !;18: 53 CATALIN, AI LEGATURA! Da Andreea am legătura!;CATALIN, AL LEGATURA!;CATALIN, AL LEGATURA!;a. CEA LEA] VAS) LEGETIJEA AJ nici , “ul W MW
441196270_450960817625350_3061497453595892013_n.jpg;Client: Oare de ce vine mancarea rece ?;Client: Oare de ce vine mancarea rece? ADHWAL AE KOFE foodpanda foodpanda 佳;Client: Oare de ce vine mancarea rece? ADHWAL AE KOFE foodpanda foodpanda 佳;Client: Oare de ce vine mancarea rece? KO;Client: Oare de ce vine mancarea rece? KO;Client: Oare de ce vine mancarea rece ? A sa KQy ros
 -15.jpg;HALBĂ CA ZĂPADA ȘI CEI ȘAPTE MICI;HALBĂ CA ZĂPADA B ŞI CEI 7 MICI vpi;HALBĂ CA ZĂPADA B ŞI CEI 7 MICI vpi;HALBĂ CA ZĂPADA ȘI CEI 7 MICI;HALBĂ CA ZĂPADA ȘI CEI 7 MICI;HALBĂ CA ZĂPADA [E — m a > ud Z E ană ŞI CEL 7 MICI .,
Dormeo.jpg;DORMEO... ..NOAPTE BUNĂ;DORMEO.. Dormeo ..NOAPTE BUNA;DORMEO.. Dormeo.. NOAPTE BUNA;TORMED NOAPTE BUNA;TORMED NOAPTE BUNA;INI, EU.
