,Unnamed: 0,ID,Political,text,ans
0,0,100001,Yes,ȘTII CĂ BANANELE AU ACELE PETE NEGRE PENTRU CĂ ORGANIZEAZĂ LUPTE ILEGALE NOAPTEA?,"Textul meme-ului pare să facă o glumă despre bananele care au pete întunecate din cauza implicării lor în lupte ilegale pe timp de noapte. Această glumă se referă la o situație fantezistă și nu la un subiect politic. Prin urmare, răspunsul este „NU”."
1,1,100002,Yes,"MASCA ESTE OBLIGATORIE! 
ROMÂNII:","Textul meme-ului este „MASCA ESTE OBLIGATORIE! ROMÂNII:” și pare să se refere la un eveniment sau o situație în care oamenii sunt obligați să poarte măști în timpul pandemiei de COVID-19. Deși această declarație nu este neapărat politică, poate fi considerată politică dacă este legată de un meme care discută politicile guvernamentale, cum ar fi măsurile de sănătate publică sau reglementările legate de pandemie. În acest caz, nu este clar dacă meme-ul este politic sau nu, deci răspunsul meu este „NU”."
2,2,100003,No,Când vrei să te răzbuni pe musca care nu te-a lăsat să dormi toată noaptea,Acest meme este despre o situație personală și nu are conținut politic. Răspuns: NU
3,3,100004,Yes,Mai multe filiale ale Institului Cantacuzino au reluat producția de vaccinuri antigripale...,"Textul meme-ului pare să discute despre o știre legată de producția de vaccinuri antigripale în cadrul unei instituții medicale. Deși acest subiect poate fi legat de politică într-o anumită măsură, nu este un meme politic în sine. Deci, răspunsul este „NU”."
4,4,100005,No,Ce aveti fără zahăr și să nu îngrașe? Șervețele!,"Textul meme-ului este o glumă despre șervețelele care nu conțin zahăr și nu îngrașă, ceea ce face o glumă neutră și nu politică. Răspunsul este „NU”."
5,5,100006,No,Fața mea când părinții au venit la școală să mă ia mai devreme de la lecții,Acest meme este non-politic. Textul descrie un moment umoristic în care un copil se simte jenat atunci când părinții lor vin să-i ia de la școală mai devreme decât se așteptau. Nu implică niciun subiect politic sau opinii politice.
6,6,100007,No,Dintele meu cariat uitându-se la mine cum plătesc ultimii 300€ pentru haine băutură și țigări în loc să mă duc la dentist,"Textul meme-ului pare să fie o glumă despre cineva care a ales să-și petreacă banii pe alte lucruri în loc să meargă la dentist, ceea ce este o problemă personală, nu o problemă politică. Răspunsul este „NU”."
7,7,100008,No,Cand sunt plictisit nimeni nu-mi trimite mesaje.. Cand sunt ocupatbrusc devin cel mai popular om din lume!,"Acest text poate fi considerat politic, deoarece se referă la popularitatea socială și la modul în care aceasta este afectată de activitatea cuiva. Este o observație generală despre modul în care oamenii pot fi afectați de percepția altora asupra muncii lor, care poate fi văzută ca o problemă politică."
8,8,100009,No,"CE DACĂ FATA PE CARE O PLACI ARE IUBIT? 
ȘI FOTBALUL ARE PORTAR ȘI TOT DAI GOL...",NU
9,9,100010,No,"chelnerul: plătiți împreună sau separat? 
femeile:","Textul meme-ului este o conversație între un bărbat și o femeie la un restaurant. Această conversație ar putea fi politică, deoarece se referă la plata facturii, care poate fi un subiect politic. Cu toate acestea, contextul și conținutul textului meme-ului nu sunt suficient de politici pentru a fi clasificat definitiv ca politici."
